stationID,security,stationTypeID,corporationID,solarSystemID,stationName
60000004,0.7080867245,1531,1000002,30002780,Muvolailen X - Moon 3 - CBD Corporation Storage
60000007,0.7944237869,1531,1000002,30002779,Ono V - Moon 9 - CBD Corporation Storage
60000010,0.8074703590,1531,1000002,30002776,Annaro I - CBD Corporation Storage
60000013,0.7944237869,1531,1000002,30002779,Ono V - Moon 2 - CBD Corporation Storage
60000016,0.8308547958,1531,1000002,30002778,Tasabeshi VIII - Moon 13 - CBD Corporation Storage
60000019,0.8308547958,1531,1000002,30002778,Tasabeshi VI - Moon 1 - CBD Corporation Storage
60000022,0.4567548925,1531,1000002,30002650,Ney X - Moon 15 - CBD Corporation Storage
60000025,0.5517798187,1531,1000002,30002648,Ardene VIII - Moon 5 - CBD Corporation Storage
60000028,0.4480995304,1531,1000002,30002654,Schoorasana VI - Moon 1 - CBD Corporation Storage
60000031,0.4480995304,1531,1000002,30002654,Schoorasana VI - Moon 6 - CBD Corporation Storage
60000034,0.5517798187,1531,1000002,30002648,Ardene VI - Moon 12 - CBD Corporation Storage
60000037,0.4567548925,1531,1000002,30002650,Ney X - Moon 12 - CBD Corporation Storage
60000040,0.7795353407,1531,1000002,30003393,Eiluvodi VI - Moon 14 - CBD Corporation Storage
60000043,0.7795353407,1531,1000002,30003393,Eiluvodi VIII - Moon 2 - CBD Corporation Storage
60000046,0.6045779379,1531,1000002,30003399,Vorsk IV - Moon 1 - CBD Corporation Storage
60000049,0.9118980891,1531,1000002,30003397,Bongveber IX - Moon 10 - CBD Corporation Storage
60000052,0.9050998520,1531,1000002,30003395,Roleinn X - Moon 13 - CBD Corporation Storage
60000055,0.8265758733,1531,1000002,30003394,Freatlidur IX - Moon 15 - CBD Corporation Storage
60000058,0.5728197321,1531,1000002,30003082,Hatori X - Moon 12 - CBD Corporation Storage
60000061,0.4744237886,1531,1000002,30003084,Malpara II - CBD Corporation Storage
60000064,0.5728197321,1531,1000002,30003082,Hatori X - Moon 10 - CBD Corporation Storage
60000067,0.7241339263,1531,1000002,30003081,Ronne I - Moon 1 - CBD Corporation Storage
