solarSystemID,security
30000001,0.8583240688
30000002,0.7516891467
30000003,0.8462923524
30000004,0.8170005312
30000005,0.8143367281
30000006,0.8642291534
30000007,0.9065555105
30000008,0.8821157148
30000009,0.5778194816
30000010,0.5390520130
30000011,0.4569593547
30000012,0.3228842725
30000013,0.4428166329
30000014,0.3552422911
30000015,0.2939329721
30000016,0.3914970557
30000017,0.1722285598
30000018,0.2312626250
30000019,0.1097049726
30000020,0.1604491933
30000021,-1.0000000000
30000022,0.1138399570
30000023,0.8693943492
30000024,0.8408345483
30000025,0.8032659941
30000026,0.6955641731
30000027,0.7499132888
30000028,0.7684326314
30000029,0.5730512268
30000030,0.5730756770
30000031,0.6817834382
30000032,0.7981876171
30000033,0.7539199524
30000034,0.7821229099
30000035,0.5940505703
30000036,0.4247181820
30000037,0.4220693149
30000038,0.4237288552
30000039,0.4007220365
30000040,0.3906456008
30000041,0.3640877470
30000042,0.4728350039
30000043,0.3793431217
30000044,0.1282584758
30000045,0.2163113398
30000046,0.3038029901
30000047,0.3691862577
30000048,0.4927012447
30000049,0.2129768849
30000050,0.4772463535
30000051,0.6491366386
30000052,0.7999009765
30000053,0.7309787225
30000054,0.7155637584
30000055,0.7251585253
30000056,0.6135958354
30000057,0.7741984605
30000058,0.7021869950
30000059,0.6655862314
30000060,0.5455705453
30000061,0.7187826208
30000062,0.4503433501
30000063,0.5099495888
30000064,0.5696976612
30000065,0.3584765248
30000066,0.6286960900
30000067,0.3968486870
30000068,0.5974575081
30000069,0.5420327808
30000070,0.3874213238
30000071,0.5273286254
30000072,0.3638643384
30000073,0.4295066450
30000074,0.4264964120
30000075,0.2978021987
30000076,0.8200990448
30000077,0.8245166009
30000078,0.7795482038
30000079,0.7696253176
30000080,0.7502684757
30000081,0.7087412966
30000082,0.7654309803
30000083,0.7289102352
30000084,0.7947781680
30000085,0.6658381295
30000086,0.6582647871
30000087,0.7016764276
30000088,0.6648348486
30000089,0.3011790274
30000090,0.3159434659
30000091,0.2189684715
30000092,0.2427886070
30000093,0.3660355384
30000094,0.2081148417
30000095,0.2849976955
30000096,0.2050033780
30000097,0.3260430802
30000098,0.3648440243
30000099,0.4423298817
30000100,0.3141310687
30000101,0.4996122855
30000102,0.2361953092
30000103,0.5258363731
30000104,0.2282817864
30000105,0.4341013131
30000106,0.5061177385
30000107,0.4739061737
30000108,0.3534402077
30000109,0.4895572339
30000110,0.4053491153
30000111,0.4229810281
30000112,0.4628354025
30000113,0.4088175891
30000114,0.3360732465
30000115,0.2700411978
30000116,0.2893983494
30000117,0.2486186152
30000118,0.4339720254
30000119,0.6717383428
30000120,0.6337059450
30000121,0.6374281330
30000122,0.6582375509
30000123,0.6471703744
30000124,0.7319313204
30000125,0.6126889152
30000126,0.6501464617
30000127,0.7479928157
30000128,0.6108489266
30000129,0.9459645526
30000130,0.8745849748
30000131,0.6069360862
30000132,0.9120170099
30000133,0.9747262069
30000134,0.8236534653
30000135,0.7341722992
30000136,0.6638108229
30000137,0.6252939349
30000138,0.9868146226
30000139,0.9599952108
30000140,0.9127475930
30000141,1.0000000000
30000142,0.9459131167
30000143,0.9639236003
30000144,0.9531232306
30000145,1.0000000000
30000146,0.6524402583
30000147,0.6252975240
30000148,0.7432522649
30000149,0.6991872083
30000150,0.5859779984
30000151,0.6987804104
30000152,0.5413266815
30000153,0.5580525767
30000154,0.6006082952
30000155,0.5617317332
30000156,0.5776562929
30000157,-1.0000000000
30000158,0.6760405466
30000159,0.5320082852
30000160,0.5185605593
30000161,0.5205267610
30000162,0.4407153812
30000163,0.3246248762
30000164,0.3150860242
30000165,0.6508315431
30000166,0.6231131515
30000167,0.5948887487
30000168,0.5091529560
30000169,0.3808086781
30000170,0.5315917757
30000171,0.4816668913
30000172,0.4791586004
30000173,0.7080730712
30000174,0.7404270630
30000175,0.6342210277
30000176,0.7213192305
30000177,0.6451198629
30000178,0.6890455733
30000179,0.5222028788
30000180,0.6802642981
30000181,0.6431657594
30000182,0.5523502238
30000183,0.7613056823
30000184,0.4839091542
30000185,0.5039918822
30000186,0.3519686534
30000187,0.5617738684
30000188,0.5669582798
30000189,0.5285221071
30000190,0.4937122829
30000191,0.3786832071
30000192,-1.0000000000
30000193,0.5002789626
30000194,0.3843998760
30000195,0.2822909694
30000196,0.2381571307
30000197,0.1974467806
30000198,0.1343789522
30000199,0.2246366235
30000200,0.1621514141
30000201,0.4741790498
30000202,0.4569661039
30000203,0.4172608157
30000204,0.3848866895
30000205,0.3469314814
30000206,-1.0000000000
30000207,0.3291989355
30000208,-0.1727831272
30000209,-0.2804349532
30000210,-0.2680697672
30000211,-0.1547702256
30000212,-0.2605165326
30000213,-0.1570092989
30000214,-0.2144029344
30000215,-0.3604404502
30000216,-0.4017755511
30000217,-0.3638713436
30000218,-0.3034607984
30000219,-0.3708158237
30000220,-0.4395372506
30000221,-0.4276449021
30000222,-0.2186268061
30000223,-0.1722287636
30000224,-0.1505020563
30000225,-0.1405149800
30000226,-0.1375529255
30000227,-0.1384410888
30000228,-0.4238191363
30000229,-0.4625835913
30000230,-0.4991225788
30000231,-0.5069950556
30000232,-0.3770807827
30000233,-0.3855828165
30000234,-0.3863537569
30000235,-0.3551379998
30000236,-0.3925579007
30000237,-0.3949292485
30000238,-0.5158034428
30000239,-0.5365561448
30000240,-0.4730263529
30000241,-0.4168935404
30000242,-0.4371916089
30000243,-0.4236528689
30000244,-0.4302153935
30000245,-0.4137535228
30000246,-0.3866967383
30000247,-0.4669643271
30000248,-0.3168427103
30000249,-0.4061064359
30000250,-0.2748796674
30000251,-0.3201043640
30000252,-0.3391336951
30000253,-0.3927612806
30000254,-0.2915992331
30000255,-0.2613924205
30000256,-0.3223471876
30000257,-0.2703388866
30000258,-0.2266559039
30000259,-0.2706317540
30000260,-0.2815867005
30000261,-0.7339960621
30000262,-0.6627406505
30000263,-0.6457986553
30000264,-0.7635342351
30000265,-0.7090482113
30000266,-0.7746851045
30000267,-0.7907073327
30000268,-0.1406062024
30000269,-0.1582737157
30000270,-0.1132238695
30000271,-0.1888732808
30000272,-0.0972100661
30000273,-0.0854802019
30000274,-0.1533721336
30000275,-0.1554342519
30000276,-0.1712750011
30000277,-0.1593389436
30000278,-0.1239549047
30000279,-0.1909375463
30000280,-0.1289936203
30000281,-0.1560862925
30000282,-0.2235419598
30000283,-0.2084510466
30000284,-0.2176908690
30000285,-0.1594597043
30000286,-0.1691390234
30000287,-0.2578908501
30000288,-0.1025559519
30000289,-0.2701582846
30000290,-0.3128408295
30000291,-0.2639812938
30000292,-0.2040389013
30000293,-0.3122084627
30000294,-0.2232949017
30000295,-0.1317824258
30000296,-0.1710724641
30000297,-0.1556599728
30000298,-0.1424955173
30000299,-0.1659744083
30000300,-0.1989296094
30000301,-0.7717415732
30000302,-0.7587705942
30000303,-0.7516916139
30000304,-0.8051051029
30000305,-0.8733299345
30000306,-0.9004377936
30000307,-0.2554699380
30000308,-0.2187531175
30000309,-0.2471641828
30000310,-0.2666063228
30000311,-0.2478877594
30000312,-0.1907659764
30000313,-0.4081373272
30000314,-0.1278022783
30000315,-0.0865989933
30000316,-0.1716442535
30000317,-0.2962836497
30000318,-0.1596233249
30000319,-0.2434772448
30000320,-0.4364386566
30000321,-0.5753650408
30000322,-0.5585461829
30000323,-0.3578075476
30000324,-0.8099135175
30000325,-0.8524244587
30000326,-0.0019004979
30000327,-0.0002124923
30000328,-0.0002760118
30000329,-0.0005525830
30000330,-0.0013515536
30000331,-0.0008814634
30000332,-0.0016309920
30000333,-0.0040542352
30000334,-0.0004640348
30000335,-0.0005943312
30000336,-0.0004888445
30000337,-0.0005536703
30000338,-0.0010568747
30000339,-0.0013174137
30000340,-0.0009382757
30000341,-0.0024862611
30000342,-0.0016391557
30000343,-0.0007147495
30000344,-0.0020920325
30000345,-0.0006130009
30000346,-0.0017852688
30000347,-0.0010976054
30000348,-0.0012391152
30000349,-0.0014363248
30000350,-0.0018491407
30000351,-0.0020143056
30000352,-0.0017349494
30000353,-0.0001038496
30000354,-0.0001580466
30000355,-0.0002553213
30000356,-0.0001252820
30000357,-0.0001038043
30000358,-0.0004962348
30000359,-0.0003327959
30000360,-0.0003648599
30000361,-0.0007803386
30000362,-0.0002242965
30000363,-0.0001648977
30000364,-0.0002529921
30000365,-0.0001720005
30000366,-0.0009386588
30000367,-0.0003318966
30000368,-0.0007704462
30000369,-0.0006646602
30000370,-0.0004596785
30000371,-0.0004098643
30000372,-0.0008182830
30000373,-0.0003403816
30000374,-0.0006353403
30000375,-0.0002443072
30000376,-0.0016207695
30000377,-1.0000000000
30000378,-0.0008983219
30000379,-0.0022107225
30000380,-0.0006333671
30000381,-0.0011705007
30000382,-0.0001981191
30000383,-0.0002657163
30000384,-0.0001747425
30000385,-0.0001567236
30000386,-0.0002976744
30000387,-0.0000902817
30000388,-0.0001280696
30000389,-0.0002035868
30000390,-0.0003308746
30000391,-0.0004372733
30000392,-0.0004977616
30000393,-0.0005061372
30000394,-0.0002100013
30000395,-0.0000708587
30000396,-0.0000496268
30000397,-0.0000308065
30000398,-0.0000373502
30000399,-0.0000424615
30000400,-0.0000545918
30000401,-0.0000313992
30000402,-0.0000937668
30000403,-0.0000531533
30000404,-0.0000455664
30000405,-0.0000774434
30000406,-0.0000424573
30000407,-0.0001251119
30000408,-0.0000127467
30000409,-0.0000151419
30000410,-0.0000136963
30000411,-0.0000188258
30000412,-0.0000106744
30000413,-0.0000077309
30000414,-0.0015133706
30000415,-0.0019535977
30000416,-0.0037660877
30000417,-0.0042400345
30000418,-0.0042843871
30000419,-0.0059208027
30000420,-0.0000046415
30000421,-0.0000049521
30000422,-0.0000032122
30000423,-0.0000018222
30000424,-9.836E-7
30000425,-9.709E-7
30000426,-0.0000013443
30000427,-0.0000084732
30000428,-0.0000085144
30000429,-0.0000053489
30000430,-0.0000165693
30000431,-0.0000085821
30000432,-0.0000165342
30000433,-0.2606911565
30000434,-0.3225648359
30000435,-0.4014222456
30000436,-0.3158692360
30000437,-0.2510197709
30000438,-0.6204132963
30000439,-0.7984868007
30000440,-0.2174658913
30000441,-0.3525865389
30000442,-0.2015724632
30000443,-0.1995432358
30000444,-0.2051128406
30000445,-0.4024754267
30000446,-0.5090262732
30000447,-0.3370332710
30000448,-0.6152691198
30000449,-0.5857486990
30000450,-0.4048852275
30000451,-0.3557651908
30000452,-0.5075816330
30000453,-0.4585950841
30000454,-0.3606518538
30000455,-0.3336065075
30000456,-0.3237183340
30000457,-0.3159863061
30000458,-0.2623742678
30000459,-0.3099517664
30000460,-0.3351458875
30000461,-0.3230920283
30000462,-0.4376930996
30000463,-0.4374977791
30000464,-0.2643469714
30000465,-0.4587692850
30000466,-0.2446022571
30000467,-0.3518202398
30000468,-0.4691366851
30000469,-0.4749472751
30000470,-0.5303782493
30000471,-0.4594491438
30000472,-0.3003791833
30000473,-0.3777087784
30000474,-0.4965527513
30000475,-0.2788776212
30000476,-0.2414721321
30000477,-0.2305845359
30000478,-0.2691451606
30000479,-0.5720547239
30000480,-0.6865977718
30000481,-0.5273303580
30000482,-0.7140626636
30000483,-0.8197735267
30000484,-0.9011149255
30000485,-0.3368960897
30000486,-0.2142201616
30000487,-0.2487706348
30000488,-0.2380961298
30000489,-0.2384625916
30000490,-0.2352479535
30000491,-0.2320007601
30000492,-0.2527214515
30000493,-0.3095529442
30000494,-0.5116518940
30000495,-0.5152087552
30000496,-0.6225172557
30000497,-0.7096158890
30000498,-0.7716695217
30000499,-0.8655767743
30000500,-0.1694332894
30000501,-0.1426498837
30000502,-0.2103908003
30000503,-0.1558700060
30000504,-0.1527507424
30000505,-0.1545027556
30000506,-0.1524732896
30000507,-0.1351724098
30000508,-0.3066237125
30000509,-0.3932012571
30000510,-0.3363892210
30000511,-0.5008711424
30000512,-0.6021052316
30000513,-0.5637633615
30000514,-0.2442084603
30000515,-0.1792128283
30000516,-0.2735606615
30000517,-0.2012819085
30000518,-0.3628853061
30000519,-0.2485389004
30000520,-0.2014115983
30000521,-0.3227901012
30000522,-0.3963359052
30000523,-0.3275323104
30000524,-0.2801027878
30000525,-0.4520587452
30000526,-0.3476313136
30000527,-0.5164991974
30000528,-0.5593778237
30000529,-0.2219971708
30000530,-0.1995273933
30000531,-0.2156269330
30000532,-0.2722109230
30000533,-0.2433828464
30000534,-0.2664210938
30000535,-0.2043792465
30000536,-0.2453493411
30000537,-0.2959991164
30000538,-0.4110933245
30000539,-0.1964369320
30000540,-0.1708690041
30000541,-0.0896260318
30000542,-0.1803341212
30000543,-0.1555020254
30000544,-0.1667668035
30000545,-0.1478493288
30000546,-0.3076617182
30000547,-0.4215422628
30000548,-0.2673413591
30000549,-0.4047977084
30000550,-0.1175612808
30000551,-0.1252678939
30000552,-0.2546971598
30000553,-0.4867313950
30000554,-0.4204256804
30000555,-0.2667644124
30000556,-0.3158047214
30000557,-0.2414960772
30000558,-0.3050725536
30000559,-0.4128037666
30000560,-0.3473972823
30000561,-0.4848184724
30000562,-0.3730283768
30000563,-0.4685800072
30000564,-0.6205077748
30000565,-0.3381576051
30000566,-0.2940064165
30000567,-0.2878239884
30000568,-0.2967877090
30000569,-0.3133024019
30000570,-0.3299053461
30000571,-0.2466150176
30000572,-0.6505233660
30000573,-0.6923944107
30000574,-0.7262842437
30000575,-0.6619212896
30000576,-0.5228060004
30000577,-0.6009419885
30000578,-0.4296292006
30000579,-0.6646604295
30000580,-0.5109122231
30000581,-0.7108604604
30000582,-0.5951959228
30000583,-0.6408141710
30000584,-0.7033248595
30000585,-0.5513123856
30000586,-0.5285758465
30000587,-0.1960289639
30000588,-0.3269291767
30000589,-0.2614946381
30000590,-0.2499016460
30000591,-0.2392914866
30000592,-0.2916048554
30000593,-0.4581189218
30000594,-0.4587291437
30000595,-0.4730031206
30000596,-0.3975030046
30000597,-0.5423556330
30000598,-0.3056842138
30000599,-0.4495411815
30000600,-0.3867472662
30000601,-0.3239295144
30000602,-0.4095743124
30000603,-0.4412940414
30000604,-0.1864932494
30000605,-0.3467443754
30000606,-0.2862598188
30000607,-0.2980689469
30000608,-0.2862094103
30000609,-0.2497209764
30000610,-0.3421525278
30000611,-0.1070951184
30000612,-0.1933371163
30000613,-0.0633886989
30000614,-0.0760954314
30000615,-0.1932617774
30000616,-0.0870203025
30000617,-0.0502633485
30000618,-0.0554869265
30000619,-0.0323007199
30000620,-0.0434031064
30000621,-0.0505464528
30000622,-0.0630877989
30000623,-0.0772734744
30000624,-0.9010969141
30000625,-0.5608118177
30000626,-0.3493166010
